     tim; pos; vol; res; sPs; tur; rat; amp; pow; eAd; eDm; eFl; sNw; sKh; 
    9.10; 4; 740; 0.28; 16.664; 36.246; 0.216; 570.86; 422434.18; 375966.42; 0.0; 4663609.368; 16.686; 60.07; 
    9.13; 4; 740; 0.28; 16.686; 36.294; 0.216; 570.86; 422434.18; 375966.42; 0.0; 4676141.582; 16.708; 60.149; 
    9.17; 4; 740; 0.28; 16.708; 36.342; 0.216; 570.86; 422434.18; 375966.42; 0.0; 4688673.796; 16.731; 60.232; 
    9.20; 4; 740; 0.28; 16.731; 36.392; 0.216; 570.86; 422434.18; 375966.42; 0.0; 4701206.01; 16.753; 60.311; 
    9.23; 4; 740; 0.28; 16.753; 36.44; 0.215; 568.21; 420478.36; 374225.74; 0.0; 4713680.201; 16.775; 60.39; 
    9.27; 4; 740; 0.28; 16.775; 36.488; 0.215; 568.21; 420478.36; 374225.74; 0.0; 4726154.392; 16.798; 60.473; 
    9.30; 4; 740; 0.28; 16.798; 36.538; 0.215; 568.21; 420478.36; 374225.74; 0.0; 4738628.583; 16.82; 60.552; 
    9.33; 4; 740; 0.28; 16.82; 36.585; 0.215; 568.21; 420478.36; 374225.74; 0.0; 4751102.774; 16.842; 60.631; 
    9.37; 4; 740; 0.28; 16.842; 36.633; 0.214; 565.57; 418522.54; 372485.061; 0.0; 4763518.943; 16.864; 60.71; 
    9.40; 4; 740; 0.28; 16.864; 36.681; 0.214; 565.57; 418522.54; 372485.061; 0.0; 4775935.112; 16.886; 60.79; 
    9.43; 4; 740; 0.28; 16.886; 36.729; 0.214; 565.57; 418522.54; 372485.061; 0.0; 4788351.281; 16.908; 60.869; 
    9.47; 4; 740; 0.28; 16.908; 36.777; 0.214; 565.57; 418522.54; 372485.061; 0.0; 4800767.45; 16.93; 60.948; 
    9.50; 4; 740; 0.28; 16.93; 36.825; 0.214; 565.57; 418522.54; 372485.061; 0.0; 4813183.619; 16.952; 61.027; 
    9.53; 4; 740; 0.28; 16.952; 36.873; 0.213; 562.93; 416567.46; 370745.039; 0.0; 4825541.787; 16.973; 61.103; 
    9.57; 4; 740; 0.28; 16.973; 36.918; 0.213; 562.93; 416567.46; 370745.039; 0.0; 4837899.955; 16.995; 61.182; 
    9.60; 4; 740; 0.28; 16.995; 36.966; 0.213; 562.93; 416567.46; 370745.039; 0.0; 4850258.123; 17.017; 61.261; 
    9.63; 4; 740; 0.28; 17.017; 37.014; 0.213; 562.93; 416567.46; 370745.039; 0.0; 4862616.291; 17.038; 61.337; 
    9.67; 4; 740; 0.28; 17.038; 37.06; 0.212; 560.29; 414611.64; 369004.36; 0.0; 4874916.436; 17.06; 61.416; 
    9.70; 4; 740; 0.28; 17.06; 37.108; 0.212; 560.29; 414611.64; 369004.36; 0.0; 4887216.581; 17.081; 61.492; 
    9.73; 4; 740; 0.28; 17.081; 37.153; 0.212; 560.29; 414611.64; 369004.36; 0.0; 4899516.726; 17.103; 61.571; 
    9.77; 4; 740; 0.28; 17.103; 37.201; 0.212; 560.29; 414611.64; 369004.36; 0.0; 4911816.871; 17.124; 61.646; 
    9.80; 4; 740; 0.28; 17.124; 37.247; 0.212; 560.29; 414611.64; 369004.36; 0.0; 4924117.016; 17.146; 61.726; 
    9.83; 4; 740; 0.28; 17.146; 37.295; 0.211; 557.64; 412655.82; 367263.68; 0.0; 4936359.139; 17.167; 61.801; 
    9.87; 4; 740; 0.28; 17.167; 37.34; 0.211; 557.64; 412655.82; 367263.68; 0.0; 4948601.262; 17.188; 61.877; 
    9.90; 4; 740; 0.28; 17.188; 37.386; 0.211; 557.64; 412655.82; 367263.68; 0.0; 4960843.385; 17.21; 61.956; 
    9.93; 4; 740; 0.28; 17.21; 37.434; 0.211; 557.64; 412655.82; 367263.68; 0.0; 4973085.508; 17.231; 62.032; 
    9.97; 4; 740; 0.28; 17.231; 37.479; 0.211; 557.64; 412655.82; 367263.68; 0.0; 4985327.631; 17.252; 62.107; 
   10.00; 4; 740; 0.28; 17.252; 37.525; 0.21; 555.0; 410700.0; 365523.0; 0.0; 4997511.731; 17.273; 62.183; 
   10.03; 4; 740; 0.28; 17.273; 37.571; 0.21; 555.0; 410700.0; 365523.0; 0.0; 5009695.831; 17.294; 62.258; 
   10.07; 4; 740; 0.28; 17.294; 37.616; 0.21; 555.0; 410700.0; 365523.0; 0.0; 5021879.931; 17.315; 62.334; 
   10.10; 4; 740; 0.28; 17.315; 37.662; 0.21; 555.0; 410700.0; 365523.0; 0.0; 5034064.031; 17.336; 62.41; 
   10.13; 4; 740; 0.28; 17.336; 37.708; 0.21; 555.0; 410700.0; 365523.0; 0.0; 5046248.131; 17.357; 62.485; 
   10.17; 4; 740; 0.28; 17.357; 37.754; 0.209; 552.36; 408744.18; 363782.32; 0.0; 5058374.208; 17.378; 62.561; 
   10.20; 4; 740; 0.28; 17.378; 37.799; 0.209; 552.36; 408744.18; 363782.32; 0.0; 5070500.285; 17.399; 62.636; 
   10.23; 4; 740; 0.28; 17.399; 37.845; 0.209; 552.36; 408744.18; 363782.32; 0.0; 5082626.362; 17.42; 62.712; 
   10.27; 4; 740; 0.28; 17.42; 37.891; 0.209; 552.36; 408744.18; 363782.32; 0.0; 5094752.439; 17.44; 62.784; 
   10.30; 4; 740; 0.28; 17.44; 37.934; 0.209; 552.36; 408744.18; 363782.32; 0.0; 5106878.516; 17.461; 62.86; 
   10.33; 4; 740; 0.28; 17.461; 37.98; 0.208; 549.71; 406788.36; 362041.64; 0.0; 5118946.571; 17.482; 62.935; 
   10.37; 4; 740; 0.28; 17.482; 38.025; 0.208; 549.71; 406788.36; 362041.64; 0.0; 5131014.626; 17.502; 63.007; 
   10.40; 4; 740; 0.28; 17.502; 38.069; 0.208; 549.71; 406788.36; 362041.64; 0.0; 5143082.681; 17.523; 63.083; 
   10.43; 4; 740; 0.28; 17.523; 38.115; 0.208; 549.71; 406788.36; 362041.64; 0.0; 5155150.736; 17.543; 63.155; 
   10.47; 4; 740; 0.28; 17.543; 38.158; 0.208; 549.71; 406788.36; 362041.64; 0.0; 5167218.791; 17.564; 63.23; 
   10.50; 4; 740; 0.28; 17.564; 38.204; 0.207; 547.07; 404832.54; 360300.961; 0.0; 5179228.823; 17.584; 63.302; 
   10.53; 4; 740; 0.28; 17.584; 38.247; 0.207; 547.07; 404832.54; 360300.961; 0.0; 5191238.855; 17.605; 63.378; 
   10.57; 4; 740; 0.28; 17.605; 38.293; 0.207; 547.07; 404832.54; 360300.961; 0.0; 5203248.887; 17.625; 63.45; 
   10.60; 4; 740; 0.28; 17.625; 38.336; 0.207; 547.07; 404832.54; 360300.961; 0.0; 5215258.919; 17.645; 63.522; 
   10.63; 4; 740; 0.28; 17.645; 38.38; 0.207; 547.07; 404832.54; 360300.961; 0.0; 5227268.951; 17.666; 63.598; 
   10.67; 4; 740; 0.28; 17.666; 38.426; 0.207; 547.07; 404832.54; 360300.961; 0.0; 5239278.983; 17.686; 63.67; 
   10.70; 4; 740; 0.28; 17.686; 38.469; 0.206; 544.43; 402877.46; 358560.939; 0.0; 5251231.014; 17.706; 63.742; 
   10.73; 4; 740; 0.28; 17.706; 38.513; 0.206; 544.43; 402877.46; 358560.939; 0.0; 5263183.045; 17.726; 63.814; 
   10.77; 4; 740; 0.28; 17.726; 38.556; 0.206; 544.43; 402877.46; 358560.939; 0.0; 5275135.076; 17.746; 63.886; 
   10.80; 4; 740; 0.28; 17.746; 38.6; 0.206; 544.43; 402877.46; 358560.939; 0.0; 5287087.107; 17.766; 63.958; 
   10.83; 4; 740; 0.28; 17.766; 38.643; 0.206; 544.43; 402877.46; 358560.939; 0.0; 5299039.138; 17.787; 64.033; 
   10.87; 4; 740; 0.28; 17.787; 38.689; 0.205; 541.79; 400921.64; 356820.26; 0.0; 5310933.147; 17.806; 64.102; 
   10.90; 4; 740; 0.28; 17.806; 38.73; 0.205; 541.79; 400921.64; 356820.26; 0.0; 5322827.156; 17.826; 64.174; 
   10.93; 4; 740; 0.28; 17.826; 38.774; 0.205; 541.79; 400921.64; 356820.26; 0.0; 5334721.165; 17.846; 64.246; 
   10.97; 4; 740; 0.28; 17.846; 38.817; 0.205; 541.79; 400921.64; 356820.26; 0.0; 5346615.174; 17.866; 64.318; 
